farce,3
bread,3
dread,3
cadre,3
padre,3
cheek,2
cater,3
eater,3
hater,3
water,3
cream,2
dream,2
earth,2
extra,2
harem,2
maker,2
tamer,2
taper,2
tread,2
adult,2
amply,1
apply,2
aptly,3
atoll,3
badly,1
dally,3
daily,2
fault,3
vault,3
gaily,3
villa,3
viola,3
gayly,2
madly,2
manly,2
tally,2
aegis,2
aeons,2
mesas,2
agile,2
apple,3
amble,2
angle,3
ankle,2
cable,2
eagle,3
ladle,3
maple,3
fable,3
gable,3
table,3
allot,2
alloy,4
allow,3
aloof,3
blind,2
album,2
alibi,3
allay,3
tidal,3
vital,3
aloft,3
aloud,3
float,3
gloat,3
loyal,3
offal,3
total,3
along,2
alpha,2
appal,3
annul,3
anvil,2
final,2
balmy,1
fatal,3
laity,3
laugh,3
valid,3
waltz,3
begat,2
lanky,3
natal,3
naval,1
cabal,3
calyx,3
cavil,3
canal,2
cloak,2
ducal,3
lilac,3
fever,2
focal,3
local,3
vocal,3
latch,2
palmy,2
papal,2
phial,2
polka,2
talon,2
ailed,3
alike,3
alley,3
alien,3
alone,3
alive,2
angel,2
babel,3
camel,3
hazel,3
label,3
lapel,3
bleak,3
bleat,3
gleam,3
plead,3
clean,3
glean,3
equal,3
ideal,3
gavel,2
chime,2
haled,3
laced,3
lamed,3
lathe,3
paled,3
halve,3
valet,3
value,3
valve,3
laden,3
lance,3
navel,2
panel,2
aisle,2
sable,2
alarm,2
brawl,2
crawl,3
drawl,3
flair,3
frail,3
trail,2
alias,2
altos,2
atlas,2
calms,2
halts,2
lacks,2
lambs,3
lamps,3
palms,3
lands,3
lawns,3
walks,3
lasts,3
salts,3
talks,3
laths,2
aloes,3
fleas,3
pleas,3
axles,2
bales,2
dales,3
gales,4
sales,4
vales,4
pales,3
tales,3
laces,3
lakes,3
lanes,3
lames,2
males,2
coral,1
altar,3
lunar,3
carol,2
flora,2
larch,2
largo,2
larva,2
molar,3
polar,3
moral,2
mural,2
trial,2
ultra,2
thong,1
amass,2
quays,3
sways,3
boats,3
coats,3
moats,3
chaos,2
chaps,3
shams,3
chats,2
foams,2
gnats,2
gnaws,3
snags,3
goads,2
goats,2
moans,2
scans,3
spans,3
swans,3
snaps,2
